データ日付,終値,始値,高値,安値
2016/1/4,18450.98,18818.58,18951.12,18394.43
2016/1/5,18374,18398.76,18547.38,18327.52
2016/1/6,18191.32,18410.57,18469.38,18064.3
2016/1/7,17767.34,18139.77,18172.04,17767.34
2016/1/8,17697.96,17562.23,17975.31,17509.64
2016/1/12,17218.96,17470.93,17546.57,17184.78
2016/1/13,17715.63,17449.12,17717.75,17414.55
2016/1/14,17240.95,17384.93,17393.83,16944.41
2016/1/15,17147.11,17522.46,17597.87,17057.6
2016/1/18,16955.57,16826.93,17037.26,16665.05
2016/1/19,17048.37,16902.29,17088.31,16812.65
2016/1/20,16416.19,17030.28,17031.32,16387.61
2016/1/21,16017.26,16466.86,16734.58,16017.26
2016/1/22,16958.53,16336.72,16993.96,16332.45
2016/1/25,17110.91,17145.81,17208.24,16922.21
2016/1/26,16708.9,16833.13,16839.52,16652.26
2016/1/27,17163.92,16949.19,17242.27,16947.95
2016/1/28,17041.45,17059.84,17235.44,16942.13
2016/1/29,17518.3,17155.06,17638.93,16767.09
2016/2/1,17865.23,17699.6,17905.37,17666.48
2016/2/2,17750.68,17716.52,17864.7,17684.66
2016/2/3,17191.25,17497.41,17515.68,17080.57
2016/2/4,17044.99,17071.11,17209.56,16941.88
2016/2/5,16819.59,16790.53,16893.12,16627.8
2016/2/8,17004.3,16620.91,17099.01,16552.3
2016/2/9,16085.44,16666.79,16668.7,16025.94
2016/2/10,15713.39,16127.86,16163.03,15429.99
2016/2/12,14952.61,15426.27,15437.22,14865.77
2016/2/15,16022.58,15248.38,16155.1,15243.88
2016/2/16,16054.43,15849.47,16341.56,15809.58
2016/2/17,15836.36,16035.35,16214.46,15632.12
2016/2/18,16196.8,16138.08,16337.59,16118.8
2016/2/19,15967.17,16050.4,16050.46,15799.35
2016/2/22,16111.05,15851.39,16187.4,15816.83
2016/2/23,16052.05,16230.38,16350.38,16001.19
2016/2/24,15915.79,15851.13,16006.45,15753.77
2016/2/25,16140.34,15983.47,16218.29,15953.93
2016/2/26,16188.41,16311.52,16472.5,16188.41
2016/2/29,16026.76,16313.31,16464.75,16026.76
2016/3/1,16085.51,16013,16099.42,15857.37
2016/3/2,16746.55,16391.48,16815.25,16388.92
2016/3/3,16960.16,16695.78,16962.95,16691.94
2016/3/4,17014.78,16927.36,17042.92,16861.38
2016/3/7,16911.32,17024.64,17026.25,16894.58
2016/3/8,16783.15,16889.48,16909.79,16570.22
2016/3/9,16642.2,16625.59,16706.25,16494.8
2016/3/10,16852.35,16811,16887.6,16713.13
2016/3/11,16938.87,16610.18,17015.3,16575.75
2016/3/14,17233.75,17155.52,17291.35,17149.21
2016/3/15,17117.07,17219.89,17279.3,17042.56
2016/3/16,16974.45,16981.36,17102.45,16950.84
2016/3/17,16936.38,17107.6,17253.03,16814.84
2016/3/18,16724.81,16883.75,16920.91,16613.69
2016/3/22,17048.55,16937.31,17107.8,16851.21
2016/3/23,17000.98,17066.27,17142.08,16964.31
2016/3/24,16892.33,16979.39,17041.16,16843.99
2016/3/25,17002.75,16949.53,17026.14,16889.4
2016/3/28,17134.37,17129.27,17167.88,16961.41
2016/3/29,17103.53,16985.28,17137.2,16948.43
2016/3/30,16878.96,17078.03,17078.03,16875.91
2016/3/31,16758.67,16997.14,17033.65,16758.67
2016/4/1,16164.16,16719.56,16719.56,16113.01
2016/4/4,16123.27,16087.76,16238.51,16029.5
2016/4/5,15732.82,16044.23,16066.18,15698.55
2016/4/6,15715.36,15727.7,15828.61,15612.91
2016/4/7,15749.84,15739.26,15871.1,15636.21
2016/4/8,15821.52,15597.04,16027.63,15471.8
2016/4/11,15751.13,15761.57,15778.74,15525.49
2016/4/12,15928.79,15719.24,15963.03,15693.61
2016/4/13,16381.22,16142.71,16405.59,16132.23
2016/4/14,16911.05,16629.83,16911.05,16602.17
2016/4/15,16848.03,16720.39,16928.67,16720.39
2016/4/18,16275.95,16521.25,16526.9,16254.2
2016/4/19,16874.44,16582.66,16900.33,16570.5
2016/4/20,16906.54,17053.83,17099.36,16870.73
2016/4/21,17363.62,17187.27,17381.7,17144.53
2016/4/22,17572.49,17220.47,17572.49,17192.39
2016/4/25,17439.3,17613.56,17613.56,17403.87
2016/4/26,17353.28,17358.56,17426.02,17200.5
2016/4/27,17290.49,17369.68,17417.54,17230.23
2016/4/28,16666.05,17438.99,17572.27,16652.74
2016/5/2,16147.38,16357.1,16357.1,15975.47
2016/5/6,16106.72,16212.67,16271.61,15989.35
2016/5/9,16216.03,16226.57,16292.86,16159.31
2016/5/10,16565.19,16307.5,16587.63,16229.15
2016/5/11,16579.01,16736.72,16814.64,16536.61
2016/5/12,16646.34,16459.69,16658.07,16374.59
