データ日付,終値
2016/1/4,18450.98
2016/1/5,18374
2016/1/6,18191.32
2016/1/7,17767.34
2016/1/8,17697.96
2016/1/12,17218.96
2016/1/13,17715.63
2016/1/14,17240.95
2016/1/15,17147.11
2016/1/18,16955.57
2016/1/19,17048.37
2016/1/20,16416.19
2016/1/21,16017.26
2016/1/22,16958.53
2016/1/25,17110.91
2016/1/26,16708.9
2016/1/27,17163.92
2016/1/28,17041.45
2016/1/29,17518.3
2016/2/1,17865.23
2016/2/2,17750.68
2016/2/3,17191.25
2016/2/4,17044.99
2016/2/5,16819.59
2016/2/8,17004.3
2016/2/9,16085.44
2016/2/10,15713.39
2016/2/12,14952.61
2016/2/15,16022.58
2016/2/16,16054.43
2016/2/17,15836.36
2016/2/18,16196.8
2016/2/19,15967.17
2016/2/22,16111.05
2016/2/23,16052.05
2016/2/24,15915.79
2016/2/25,16140.34
2016/2/26,16188.41
2016/2/29,16026.76
2016/3/1,16085.51
2016/3/2,16746.55
2016/3/3,16960.16
2016/3/4,17014.78
2016/3/7,16911.32
2016/3/8,16783.15
2016/3/9,16642.2
2016/3/10,16852.35
2016/3/11,16938.87
2016/3/14,17233.75
2016/3/15,17117.07
2016/3/16,16974.45
2016/3/17,16936.38
2016/3/18,16724.81
2016/3/22,17048.55
2016/3/23,17000.98
2016/3/24,16892.33
2016/3/25,17002.75
2016/3/28,17134.37
2016/3/29,17103.53
2016/3/30,16878.96
2016/3/31,16758.67
2016/4/1,16164.16
2016/4/4,16123.27
2016/4/5,15732.82
2016/4/6,15715.36
2016/4/7,15749.84
2016/4/8,15821.52
2016/4/11,15751.13
2016/4/12,15928.79
2016/4/13,16381.22
2016/4/14,16911.05
2016/4/15,16848.03
2016/4/18,16275.95
2016/4/19,16874.44
2016/4/20,16906.54
2016/4/21,17363.62
2016/4/22,17572.49
2016/4/25,17439.3
2016/4/26,17353.28
2016/4/27,17290.49
2016/4/28,16666.05
2016/5/2,16147.38
2016/5/6,16106.72
2016/5/9,16216.03
2016/5/10,16565.19
2016/5/11,16579.01
2016/5/12,16646.34
2016/5/13,16412.21
2016/5/16,16466.4
2016/5/17,16652.8
2016/5/18,16644.69
2016/5/19,16646.66
2016/5/20,16736.35
2016/5/23,16654.6
2016/5/24,16498.76
2016/5/25,16757.35
2016/5/26,16772.46
2016/5/27,16834.84
2016/5/30,17068.02
2016/5/31,17234.98
2016/6/1,16955.73
2016/6/2,16562.55
2016/6/3,16642.23
2016/6/6,16580.03
2016/6/7,16675.45
2016/6/8,16830.92
2016/6/9,16668.41
2016/6/10,16601.36
2016/6/13,16019.18
2016/6/14,15859
2016/6/15,15919.58
2016/6/16,15434.14
2016/6/17,15599.66
2016/6/20,15965.3
2016/6/21,16169.11
2016/6/22,16065.72
2016/6/23,16238.35
2016/6/24,14952.02
2016/6/27,15309.21
2016/6/28,15323.14
2016/6/29,15566.83
2016/6/30,15575.92
2016/7/1,15682.48
2016/7/4,15775.8
2016/7/5,15669.33
2016/7/6,15378.99
2016/7/7,15276.24
2016/7/8,15106.98
2016/7/11,15708.82
2016/7/12,16095.65
2016/7/13,16231.43
2016/7/14,16385.89
2016/7/15,16497.85
2016/7/19,16723.31
2016/7/20,16681.89
2016/7/21,16810.22
2016/7/22,16627.25
2016/7/25,16620.29
2016/7/26,16383.04
2016/7/27,16664.82
2016/7/28,16476.84
2016/7/29,16569.27
2016/8/1,16635.77
2016/8/2,16391.45
2016/8/3,16083.11
2016/8/4,16254.89
2016/8/5,16254.45
2016/8/8,16650.57
2016/8/9,16764.97
2016/8/10,16735.12
2016/8/12,16919.92
2016/8/15,16869.56
2016/8/16,16596.51
2016/8/17,16745.64
2016/8/18,16486.01
2016/8/19,16545.82
2016/8/22,16598.19
2016/8/23,16497.36
2016/8/24,16597.3
2016/8/25,16555.95
2016/8/26,16360.71
2016/8/29,16737.49
2016/8/30,16725.36
2016/8/31,16887.4
2016/9/1,16926.84
2016/9/2,16925.68
